id,nama,latitude,longitude,htm_weekday,htm_weekend,deskripsi,image,image2,image3,url_maps,alamat,operating_hours,rating,kategori,url_tiket,akesibilitas,fasilitas,type,akses,dataran,weather,jeniswisata,jumlahrating,anak,lansia,descitinerary,isnight
142,Sabo Bronggang Argomulyo Cangkringan Sleman,-7.6639874,110.4646727,0,0,"Banyak wisatawan datang ke Jogja untuk mendapatkan berbagai spot foto khas yang ada di kota ini, dan salah satu incaran para wisatawan adalah potret dengan latar Gunung Merapi yang nampak jelas dan memperlihatkan puncaknya dengan sudut yang bagus. Untuk mendapatkan hasil potret cantik dari puncak Merapi tidak harus selalu berada sangat dekat dengan gunung tersebut seperti di bagian kaki gunung maupun lerengnya, karena dengan mengunjungi Dam Sabo Bronggang yang ada di daerah Cangkringan, Sleman anda sudah bisa mendapatkan spot foto yang anda inginkan. Dam atau bendungan ini memang memiliki fungsi utama untuk menghalang lahar dan material vulkanik lainnya dari erupsi Gunung Merapi yang terbawa saat banjir lahar dingin. Di wilayah Sleman memang terdapat beberapa sungai yang memiliki hulu kearah Merapi seperti kalikuning, kali gendol dan juga kali boyong. Setiap kali erupsi di Merapi terjadi, maka ketiga kali tersebut menjadi langganan banjir lahar dingin, terutama untuk kali Gendol.",https://lh5.googleusercontent.com/p/AF1QipMY90ahLoDRj9TrnjKOYgIoef42zhYbwp1wc1xs=w426-h240-k-no,"https://blue.kumparan.com/image/upload/fl_progressive,fl_lossy,c_fill,q_auto:best,w_640/v1578329394/xpnsdvaaapufkzvzux94.jpg",https://setapaklangkah.com/wp-content/uploads/2020/08/Penampakan-Sabo-Dam-Bronggan-630x380.jpg,https://goo.gl/maps/umWh8NYzYTdpc27K6,"Suruh, Argomulyo, Kec. Cangkringan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55583",Buka 24 Jam,4.5,Wisata Alam,,,,outdoor,susah,tinggi,{current_weather},pegunungan,648,yes,yes,Menikmati keindahan pemandangan gunung merapi,yes
143,Bale Banjar Sangkring,-7.8122863,110.343125,30000,30000,"Tempat mirip hanggar indah yang menampilkan lukisan, patung, dan pameran seni dari seniman kontemporer.",https://lh5.googleusercontent.com/p/AF1QipNuXDxecqytFeyIKZmCrPSdVK1lj7x4phR_ZOCM=w424-h240-k-no,https://sangkringart.com/wp-content/uploads/2014/05/bale-banjar-3-800x542.jpg,https://travelspromo.com/wp-content/uploads/2022/04/Beragam-spot-indah-di-Sangkring-Art-Space-1024x768.jpg,https://goo.gl/maps/hGv8mfXWn7wftBS17,"Jl. Nitiprayan No.88, RT.01/RW.20, Sanggrahan, Ngestiharjo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55182",Buka 24 Jam,4.6,Wisata Budaya & Edukasi,,universal,,indoor,mudah,rendah,{current_weather},museum kesenian,633,yes,yes,Belajar dan melihat keindahan karya seni di Bale Banjar Sangkring,yes
144,Desa Wisata Nglinggo,-7.647668,110.141878,0,0,"Desa wisata dataran tinggi dengan perkebunan teh, pemandangan gunung, pendakian, dan air terjun.",https://lh5.googleusercontent.com/p/AF1QipN8Y28ber54O2_8yLJJz_tFWT04_ICf9zmemM7Y=w408-h272-k-no,https://dinpar.kulonprogokab.go.id/upload/1-juara1nglinggoerlangga-fachri-sudjonojpg.jpg,https://cdn-cms.pgimgs.com/areainsider/2023/04/Alt-Text-Pesona-Kebun-Teh-Nglinggo-di-Bukit-Menoreh-Kulon-Progo.png,https://goo.gl/maps/BvNzbhFBL6eAHUiK6,"Nglinggo Barat, Pagerharjo, Kec. Samigaluh, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55673",Senin-Minggu 09.00-17.00,4.4,Wisata Budaya & Edukasi,,universal,,outdoor,mudah,tinggi,{current_weather},desa wisata,616,yes,yes,Mengunjungi keindahan desa wisata Nglinggo,no
145,Gereja Sayidan,-7.8035488,110.3698419,0,0,"Gereja Gothik Sayidan adalah sebuah bangunan mirip gereja berarsitektur Gothik yang terletak di Kampung Sayidan, Kecamatan Gondomanan, Kota Yogyakarta. Meskipun bernama gereja, bangunan tersebut merupakan rumah hunian. Bangunan tersebut dimiliki oleh Esther Widyo Wanandyo, istri dari R.",https://lh5.googleusercontent.com/p/AF1QipNCoUqGKdK0qpKnC-6hTyoeVLcWklR_NLbpZG5Q=w408-h305-k-no,https://jogjacar.com/wp-content/uploads/2021/08/gothicsayidan-edited.jpg,https://cdn.wisata.app/diary/121e29cd-4de0-4cf3-b852-c5cc1407ad8a.jpg,https://goo.gl/maps/154krdc1ovtUeibp6,"59W9+HWP, Prawirodirjan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131",Buka 24 Jam,4.3,Wisata Buatan,,,,outdoor,mudah,rendah,{current_weather},budaya&sejarah,616,yes,yes,Mengunjungi spot foto yang viral di Gereja Sayidan,yes
146,Pinus pengger Yogyakarta,-7.8712723,110.459653,13000,13000,Objek wisata terbuka di kawasan hutan dengan tempat berfoto unik yang terbuat dari material alami.,https://lh5.googleusercontent.com/p/AF1QipOamitcAVp9tloNZU816GnhY5zPRBBXihHufliy=w408-h272-k-no,https://travelspromo.com/wp-content/uploads/2019/04/Berfoto-dengan-latar-city-light-yogyakarta-1024x683.jpg,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/c4/d3/19/la-famosa-mano-de-pinus.jpg?w=1200&h=-1&s=1,https://goo.gl/maps/nukZqTTTo6KXHQvv9,"Jl. Dlingo-Patuk, Sendangsari, Terong, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783",Senin-Minggu 08.00-21.00,4.5,Wisata Alam,,,,outdoor,susah,tinggi,{current_weather},pegunungan,605,yes,yes,Menikmati keindahan alam dan hutan pinus Pengger,yes
147,Alun-Alun Kidul Yogyakarta,-7.8118782,110.3456953,0,0,"Alun-alun yang terkenal dengan hiburan malam, rental gokar berlampu neon, kios camilan, bar, dan musik ceria.",https://lh5.googleusercontent.com/p/AF1QipP9tlUUSO7nvMxp2JDm8F8Yj767OLSWrU4htQg4=w426-h240-k-no,https://visitingjogja.jogjaprov.go.id/web/wp-content/uploads/2021/02/170694033_473241550780871_858495986566598445_n.jpg,https://www.nativeindonesia.com/foto/alun-alun-kidul/Ikon-Alun-Alun-Kidul-Yogyakarta.jpg,https://goo.gl/maps/Jg3GXD3swAFRbGgJ9,"Patehan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55133",Buka 24 Jam,4.7,Wisata Budaya & Edukasi,,,,outdoor,mudah,rendah,{current_weather},rekreasi,12448,yes,yes,Bersantai dan menikmati suasana kota,yes
148,Wisata Watu Amben,-7.8498077,110.4770954,0,0,Watu Amben menjadi satu dari banyaknya destinasi wisata alam terbaru di Jogja yang menyuguhkan tempat nongkrong anti mainstream. Yogyakarta terkenal dengan ragam destinasi wisata alam terbaik dengan sajian tempat kece untuk menemani aktivitas holiday. Sehingga tak mengherankan jika kota satu ini tak pernah sepi akan traveler yang menghabiskan hari liburnya bersama orang tercinta.,https://lh5.googleusercontent.com/p/AF1QipN9cM6NI8uJxM8DHLq7y7ImzDAwghWBZfyPfjij=w507-h240-k-no,https://sikidang.com/wp-content/uploads/Watu-Amben-Yogyakarta.jpg,https://tempatwisataseru.com/wp-content/uploads/2019/11/Wisata-Watu-Amben.jpeg,https://goo.gl/maps/m9eocvimZybRtBrQ6,"4FRF+W3Q, pandeyan, Duwen Bintang, Srimulyo, Kec. Piyungan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55792",Buka 24 Jam,4.4,Wisata Buatan,,,,outdoor,mudah,tinggi,{current_weather},rekreasi,592,no,no,Menikmati keindahan alam pegunungan di Watu Amben,yes
149,Gua Cerme,-7.9794413,110.3803114,7000,7000,"Kompleks gua dengan gua gelap, gua berair, dan tempat mendaki, plus penyewaan helm dan senter kepala.",https://lh5.googleusercontent.com/p/AF1QipNHINeeqU_Vc4irq7ZNEfZB1LO70wSzIkJajnIj=w408-h544-k-no,https://sikidang.com/wp-content/uploads/Goa-Cerme-Yogyakarta.jpg,https://happytour.id/wp-content/uploads/2018/07/GoaCerme1.jpg,https://goo.gl/maps/2kMEfeF5VdJnTkaM9,"Jl. Srunggo, Srunggo, Selopamioro, Kec. Imogiri, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55782",Senin-Minggu 06.00-18.00,4.4,Wisata Alam,,,,outdoor,mudah,tinggi,{current_weather},rekreasi alam,587,no,no,Melihat keindahan dari Gua Cerme,no
150,Candi Barong,-7.7756537,110.4973011,5000,5000,"Candi Barong terletak di Dawangsari, Sambirejo, Prambanan, Sleman ditemukan dalam keadaan runtuh, mulai ditangani secara intensif sejak tahun 1979, dengan kegiatan prapemugaran, dan dilanjutkan dengan studi teknis pada tahun 1985. Adapun kegiatan pemugaran dilaksanakan mulai tahun 1987 sampai dengan tahun 1999. Latar belakang keagamaan Candi Barong adalah Hindu, tetapi fokus pemujaannya kepada Dewa Wisnu. Hal ini ditunjukkan dengan adanya temuan temuan arca Dewa Wisnu dan istrinya Dewi Sri. Candi Barong diperkirakan didirikan antara abad IX � X M atau akhir masa klasik periode Jawa Tengah. Merupakan saksi sejarah sebagai situs dengan bangunan yang memiliki informasi tentang kehidupan masa lalu khususnya tentang agama Hindu di Indonesia. Situs Candi Barong mempunyai potensi untuk diteliti lebih lanjut dalam rangka menjawab masalah-masalah dalam bidang keilmuan, arkeologi, historis, arsitektur, dan teknik sipil. Memiliki bukti arkeologis masa lalu yang dapat digunakan untuk pengembangan kebudayaan di Indonesia, yaitu adanya unsur lokal genius, ditandai dengan pola halaman seperti Punden Berundak, sebagaimana layaknya tinggalan masa Prasejarah di Indonesia.",https://lh5.googleusercontent.com/p/AF1QipNvrSrKupLmxqeCTio24fqTlskgO0L98GXkKae5=w408-h306-k-no,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Candi_Barong.JPG/1200px-Candi_Barong.JPG,https://kebudayaan.slemankab.go.id/public/candi_barong_1.jpg,https://goo.gl/maps/xfb5bzT8aorMYmg69,"6FFW+PWM, Dusun Candisari, Desa Sambirejo, Prambanan, Dowang Sari, Sambirejo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572",Buka 24 Jam,4.6,Wisata Budaya & Edukasi,,,,outdoor,mudah,rendah,{current_weather},candi,565,yes,yes,Mengunjungi situs Candi Barongs,yes
151,Nol Kilometer Jl.Malioboro,-7.8013803,110.3647652,0,0,"Titik Nol Kilometer Yogyakarta adalah sebuah kawasan persimpangan yang terletak di Gondomanan, Yogyakarta, yang kerap dikunjungi oleh wisatawan karena lokasinya yang strategis dan dekat dengan banyak lokawisata.",https://lh5.googleusercontent.com/p/AF1QipPZYxwq1zIjkSLEOLwhlddj4T0uzVfPkx0cpHqV=w408-h273-k-no,https://img.inews.co.id/media/1200/files/inews_new/2022/08/28/nol_kilometer_yogyakarta.jpg,https://antarejatour.com/wp-content/uploads/2019/07/Spot-Pedestrian-Titik-Nol-Km-Jogja-sumber-ig-jogjagokil.jpg,https://goo.gl/maps/cd7eW78MSUawr7RX9,"Jl. Pangurakan No.1, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",Buka 24 Jam,4.7,Wisata Budaya & Edukasi,,universal,,outdoor,mudah,rendah,{current_weather},rekreasi,565,yes,yes,Bersantai dan foto disekitar kawasan nol km,yes
152,Mojo Gumelem Hill,-7.9559784,110.4341083,5000,5000,"Area wisata dengan pemandangan pedesaan di puncak bukit, serta sarang burung buatan raksasa untuk berfoto.",https://lh5.googleusercontent.com/p/AF1QipNYses-v8pDplJuCAdphewf02YHNCDN_L6DtNSq=w408-h306-k-no,https://sikidang.com/wp-content/uploads/harga-tiket-masuk-bukit-mojo.jpg,https://www.busjogja.id/wp-content/uploads/2022/12/Mengenal-Wisata-Baru-Bukit-Mojo-Gumelem-Yogyakarta.jpg,https://goo.gl/maps/MtdCsa3B6Rg536qm6,"2CVM+393, Kanigoro, Mangunan, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783",Buka 24 Jam,4.3,Wisata Alam,,,,outdoor,susah,tinggi,{current_weather},pegunungan,551,no,no,Menikmati suasana pegunungan dari atas bukit Mojo Gumelem,yes
153,Pantai Midodaren,-8.1255992,110.521558,7500,7500,Pantai Midodaren adalah salah satu pantai di Yogyakarta tepatnya di Gunungkidul. Nama �Midodaren� dari pantai ini diambil dari bahasa Jawa �Widodari� yang artinya bidadari. Tak heran kalau pesonanya bak cuilan surga. Berkunjung ke tempat wisata ini membutuhkan effort yang lumayan ekstra. Bagaimana tidak? Anda perlu menitipkan kendaraan dan harus melanjutkan perjalanan dengan tracking selama 40 menit. Tapi tidak perlu khawatir rasa lelah anda akan terbayar karena pesona pantai ini sangatlah menawan.  Jadi usaha tracking hampir sejam tidak akan sia-sia.,https://lh5.googleusercontent.com/p/AF1QipP0RLrWxPRFZaLqG4JvYXsv7_PdQ0UBdz1LtV4K=w408-h306-k-no,https://visitingjogja.jogjaprov.go.id/web/wp-content/uploads/2022/08/pantai-midodaren-by-@adhe_aditya.jpg,https://liburmulu.com/wp-content/uploads/2018/03/Kalau-kamu-ingin-bersantai-lebih-baik-liburan-ke-Pantai-Widodaren-saja-via-IG-@rahman.ali_012.jpg,https://goo.gl/maps/3wnLaW4fNFYRDymi7,"Kanigoro, Kec. Saptosari, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55871",Buka 24 Jam,4.5,Wisata Alam,,,,outdoor,susah,tinggi,{current_weather},pantai,550,yes,no,Menikmati suasana pantai yang indah di Pantai Midodaren,yes
154,Pantai Seruni,-8.159907,110.6315752,10000,10000,"Nama Seruni sendiri di ambil dari nama sebuah bunga, yaitu Bunga Seruni atau yang disebut dengan istilah lain Chrysanthemun atau Chrysous yang memiliki arti Emas. Entah bagaimana awal mula sejarah pantai itu di beri nama Pantai Seruni yang berarti emas. Namun kehadirannya pantai ini sudah menjadi tambang emas bagi para penduduk sekitar untuk mengais rejeki dari berjualan hingga menyediakan jasa penyewaan lainnya. Pantai ini memiliki pemandangan yang sangat indah. Anda juga akan mendapatkan suasanan pantai yang tenang dan eksotis. Tentunya cocok untuk Anda yang ingin berlibur tanpa keramaian. Ciri khas dari pantai ini adalah air terjun dan hamparan pasir putih sekitar 500 meter. Selagi masih belum terjamah oleh banyak orang, sudah wajib bagi Anda untuk menjadikan wisata ini sebagai destinasi liburan di akhir pekan. Pantainya yang cukup sepi memungkinkan Anda untuk bisa merasakan kealamian, kebersihan dan ketenangan bersama keluarga, teman-teman, ataupun pasangan.",https://lh5.googleusercontent.com/p/AF1QipMXSEKKuzQQVNDi5CWAfCfg-Z9BYdUboMO5uvvI=w408-h306-k-no,https://pantainesia.com/wp-content/uploads/2018/04/Objek-Wisata-Pantai-Seruni.jpg,https://pantainesia.com/wp-content/uploads/2021/10/Pantai-Seruni-Gunungkidul.jpg,https://goo.gl/maps/2wq8swb7u57Xa1wRA,"Pantai, Tepus, Kec. Tepus, Gunungkidul, Daerah Istimewa Yogyakarta 55881",Buka 24 Jam,4.5,Wisata Alam,,,,outdoor,susah,tinggi,{current_weather},pantai,527,yes,no,Menikmati keindahan pantai Seruni,yes
155,Candi Gebang,-7.7514654,110.4162887,5000,5000,"Candi Gebang terletak di Dusun Gebang, Desa Wedomartani, Kecamatan Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta. Candi Gebang ditemukan pada November 1936 oleh penduduk setempat saat mengambil batu untuk bahan membuat rumah. Penemuan Candi Gebang berawal dari ditemukannya sebuah arca Ganesha. Objek temuan tersebut kemudian ditindaklanjuti oleh Dinas Purbakala Hindia Belanda dengan mengadakan penelitian dan penggalian. Dari kegiatan penelitian dan penggalian diketahui bahwa arca tersebut ternyata tidak berdiri sendiri, tetapi merupakan bagian dari sebuah bangunan. Dari kegiatan tersebut ditemukan reruntuhan bangunan yang terdiri atas bagian atap candi, sebagian kecil tubuh, dan sebagian kaki yang masih utuh. Selanjutnya dari temuan yang ada, dilakukan penyusunan percobaan, meskipun bagian tubuh bangunan banyak menggunakan batu pengganti. Pemugaran Candi Gebang dilaksanakan pada tahun 1937 sampai dengan 1939,  dipimpin oleh V.R. van Romondt. Ditinjau dari bentuk kaki candi yang mempunyai proporsi tinggi menunjukkan bahwa Candi Gebang berasal dari periode yang tua (� 730 � 800 M). Menurut van Romondt, Candi Gebang berasal pada masa awal Jawa Tengah.",https://lh5.googleusercontent.com/p/AF1QipMZD6GnTtox3h_E6Q_ibfbZdxSqgnWuYaihNQ_i=w426-h240-k-no,https://cdn2.tstatic.net/tribunnewswiki/foto/bank/images/candi-gebang1.jpg,https://ngemplak.slemankab.go.id/wp-content/uploads/2019/05/Candi-Gebang-2.jpg,https://goo.gl/maps/3KFY71KMvofKNSmLA,"6CX8+CG7, Gebang, Jl. Jetis Raya, Jetis, Wedomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584",Senin-Minggu 08.00-17.00,4.5,Wisata Budaya & Edukasi,,,,outdoor,mudah,rendah,{current_weather},candi,518,yes,yes,Mengunjungi situs Candi Gebang,no
156,Kekayon Museum,-7.8145886,110.4104855,7000,7000,"Museum Wayang Kekayon ini didirikan oleh almarhum Prof. DR. dr. KPH. Soejono Prawirohadikusumo (Guru besar UGM sekaligus dokter ahli saraf jiwa) dan diresmikan oleh KGPAA Paku Alam VIII pada tahun 1991.  Museum ini mengoleksi berbagai jenis wayang yang ada di Indonesia. Selain sebagai tujuan wisata seni budaya, museum ini juga memiliki fungsi pendidikan, wahana penelitian, dan rekreasi. Wayang merupakan kekayaan luhur budaya bangsa Indonesia yang patut kita banggakan. Terbukti atas pengakuan UNESCO atas wayang sebagai warisan pusaka dunia. Museum ini juga nyaman dan asri dengan taman parkir luas serta pendapa megah untuk perayaan pernikahan, pameran, pertemuan, sarasehan, dan lain-lain.",https://lh5.googleusercontent.com/p/AF1QipPBl0nGJ0cUkvtBtV3zwxkQ6BibKQDKZmB91vw_=w408-h305-k-no,https://gudeg.net/cni-content/uploads/modules/direktori/logo/20170124033107.jpeg,https://travelspromo.com/wp-content/uploads/2022/04/Keindahan-bangunan-museum-ala-Jawa-tradisional.jpg,https://goo.gl/maps/XC9rsxHp2fXaNMhp8,"5CM7+Q4P, Jl. Jogja-Wonosari Km 7 No 277, National Rte 3, Kalangan, Baturetno, Banguntapan, Bantul Regency, Special Region of Yogyakarta 55197",Senin-Sabtu 08.30-14.00,4.2,Wisata Budaya & Edukasi,,,,indoor,mudah,rendah,{current_weather},museum kesenian,504,yes,yes,Menikmati kesenian di Kekayon Museum,no
157,Museum Kotagede Intro Living Museum,-7.8263321,110.3920503,10000,10000,"Diangkat menjadi konsep museum yang berbasis komunitas, diharapkan menjadi pintu untuk mengenali kisah peristiwa dan berbagai alur sejarah yang terjadi di Kotagede secara menyeluruh & keterkaitannya pada lokasi yang hingga kini masih terjaga kelestariannya. Tradisi yang masih terjaga dan lestari di Kotagede menjadi daya tarik pariwisata, sehingga museum hadir sebagai pusat informasi awal dari Living Museum Kotagede. Pengunjung disajikan potensi-potensi 4 klaster yang ada di Kotagede yaitu Klaster Situs Arkeologi dan Lansekap Sejarah, Klaster Kemahiran Teknologi Tradisional, Klaster Seni Pertunjukan Sastra, Adat-Tradisi dan Kehidupan Keseharian, dan klaster Pergerakan Sosial Kemasyarakatan. Dalam klaster arkeologi dan sejarah misalnya, pengunjung bisa melihat peninggalan berupa artefak, bangunan, cagar budaya, dan lainnya. Untuk klaster kemahiran tradisional memuat informasi peninggalan arsitektur dan kriya perak. Klaster sastra, seni pertunjukan, adat tradisi melingkupi kemampuan kreasi seni serta kuliner khas Kotagede seperti Kipo dan Waru. Sementara klaster pergerakan sosial terkait dengan perjalanan sejarah terkait muncul dan berkembangnya organisasi sosial dan kemasyarakatan kotagede. Termasuk perannya dalam kemerdekaan Indonesia. Museum Kotagede berpatokan pada situasi lingkungan di luar tembok museum, tetapi tetap dibutuhkan satu titik pertemuan untuk menjadi jangkar bagi keberadaan Museum Kotagede itu sendiri. Maka, titik tersebut disebut Museum Kotagede : Intro Living Museum yang menempati bangunan cagar budaya Rumah Kalang yan berlokasi di Jl. Tegalgendu, Kotagede , Yogyakarta yang berfungsi sebagai pusat informasi mengenai potensi kawasan cagar budaya Kotagede.",https://lh5.googleusercontent.com/p/AF1QipNx6IDxcaXJ7708RvAItsi_m1P2f4gljpfHbNfs=w408-h306-k-no,https://budaya.jogjaprov.go.id/view_image/images/1639359929_9d410ce6955191388acfc6668e5d3411.jpg,https://www.ascomaxx.com/uploads/large/bccd9ec04ff1a6fa6321674cde6a4976.jpg,https://goo.gl/maps/WhXEwMYxMaaVPM3E9,"Jl. Tegal Gendu No.20, Prenggan, Kec. Kotagede, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55172",Senin-Minggu 08.00-18.00,4.8,Wisata Budaya & Edukasi,,,,indoor,mudah,rendah,{current_weather},museum sejarah,504,yes,yes,Mengunjungi tempat penuh barang bersejarah ,no
158,Panggung Krapyak,-7.8330188,110.3396697,0,0,"Panggung Krapyak dibangun sekitar tahun 1760 oleh Sri Sultan HB I yang memiliki kegemaran yang sama dengan Prabu Hanyokrowati yaitu berburu. Panggung sebagai pos berburu sekaligus sebagai daerah pertahanan dari binatang buas.Panggung Krapyak yang menyerupai kotak ini memiliki ukuran luas 17,6 m x 15 m dan tinggi 10 m. Dindingnya terbuat dari batu bata merah yang dilapisi semen. Pada setiap sisinya terdapat sebuah pintu dan dua buah jendela yang berada di kanan kirinya. Bangunan ini terdiri dari dua lantai. Lantai bawah terbagi ke dalam empat ruangan yang dihubungkan oleh lorong. Lantai atas atau atapnya adalah sebuah tempat terbuka yang dibatasi oleh pagar di keempat sisinya yang digunakan sebagai tempat berburu binatang. Beberapa orang menduga jika bangunan ini juga digunakan oleh prajurit Mataram sebagai pos pertahanan. Konon dari tempat ini gerakan musuh dari arah selatan bisa dipantau sehingga bisa memberikan peringatan kepada Keraton jika ada bahaya.",https://lh5.googleusercontent.com/p/AF1QipPd6ucDppaUIW5V7c6qrv8US8QseprZ03DPPKQ0=w408-h303-k-no,https://asset.kompas.com/crops/0OPrLd64aW4tSCcMdhEclk2kPNM=/91x0:926x556/750x500/data/photo/2022/07/23/62db6a8da3d51.jpg,https://kratonkec.jogjakota.go.id/assets/instansi/kratonkec/article/20220809120317.jpeg,https://goo.gl/maps/G7bfYQJe7WMeVAiBA,"Krapyak Kulon, panggung, krpayak, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55188",Buka 24 Jam,4.6,Wisata Budaya & Edukasi,,,,outdoor,mudah,rendah,{current_weather},budaya&sejarah,2806,yes,yes,Mengunjungi tempat sejarah Panggung Krapyak,yes
159,Batu Papal,-7.789479,110.5185664,10000,10000,"Perbukitan kini menjadi salah satu tempat yang paling sering dikunjungi wisatawan, termasuk Batu Papal. Namanya cukup asing, karena kawasan ini pun jarang dijamah. Hanya saja, pemandangan perbukitan terhampar luas di depan mata. Daya tariknya membuat siapapun bakal terpana. Teman Traveler bisa menikmati persawahan di area Klaten dan juga megahnya Gunung Lawu serta jajaran pegunungan lain. Sayangnya, keindahan fajar di sini bakalan tertutup kabut jika cuaca tak bersahabat. Di Puncak Batu Papal, Teman Traveler juga bisa melihat eloknya pemandangan dari aneka spot foto. Seperti replika helikopter yang sengaja dipasang untuk menarik minat wisatawan. Tempatnya memang tak luas, tapi cukup terawat. Selain itu, ada juga ayunan dan gazebo yang bisa dijadikan tempat beristirahat dengan menikmati keindahan alam. Tak ketinggalan, dua gardu pandang yang pas banget dijadikan spot foto.",https://lh5.googleusercontent.com/p/AF1QipM6p5khuBCVOKkPWiadzmHF40TeMVz7-qP4oY6O=w457-h240-k-no,https://joss.co.id/data/uploads/2021/05/obelix-hills.jpg,https://img.harianjogja.com//upload/img/Dewi%20Sambi%20(Watu%20Papal.jpg,https://goo.gl/maps/7oJkR1bXxgwrHmdX9,"6G69+6C4, Jl. Candi Ijo, Mlakon, Sambirejo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572",Senin-Minggu 06.00-21.00,4.2,Wisata Alam,,,,outdoor,susah,tinggi,{current_weather},pegunungan,497,no,no,Menikmati keindahan alam di Batu papal,yes
160,Museum TNI AD Dharma Wiratama,-7.7823778,110.3754172,0,0,"Museum Pusat Tentara Nasional Indonesia Angkatan Darat Dharma Wiratama adalah museum khusus yang mendokumentasikan bakti prajurit TNI Angkatan Darat. Keberadaan museum ini telah digagas sejak tahun 1956. Tujuannya adalah untuk mengenang perjuangan dan pengabdian TNI AD, sesuai dengan nama Dharma Wiratama yang memilik arti pengabdian luhur. Museum berdiri dan disahkan pada tanggal 8 September 1968. Pada tanggal 17 Juni 1968 Museum Dharma Wiratama dipindahkan ke gedung bekas kediaman Dinas Jendral Sudirman. Seiring perkembangannya penggunaan gedung tersebut dianggap tidak memadai lagi. Gedung tersebut kemudian dialih fungsikan menjadi Museum Sasmitaloka, sementara Museum Dharma Wiratama dipindahkan ke Gedung Markas Korem dan diresmikan kembali pada 17 Juli 1982. Benda-benda koleksi museum memcapai 4.236 buah yang dikelompokkan dalam ruang-ruang tertentu. Ruang-ruang tersebut antara lain Ruang Palagan yang memajang koleksi senjata dan perlengkapan yang digunakan saat 8 palagan besar di Indonesia, Ruang Panji-panji yang memajang koleksi bendera Kesatuan TNI AD untuk berbagai keperluan, Ruang Gamad yang memamerkan seragam Angkatan Darat beserta atributnya, Ruang Tanda Jasa yang menampilkan beragam Bintang Jasa sebagai pengakuan dan penghargaan atas jasa para prajurit, dan ruang-ruang lainnya dengan total 20 ruangan.",https://lh5.googleusercontent.com/p/AF1QipOgizGSFrmzXu7CNilzc8VJVQUPVuqQiTAlAElU=w408-h306-k-no,https://kebudayaan.jogjakota.go.id/assets/instansi/kebudayaan/article/20190701193001.jpg,https://asset-2.tstatic.net/jogja/foto/bank/images/museum-tni-ad-dharma-wiratamahadirkan-atmosfer-milenial-berbasis-it.jpg,https://goo.gl/maps/KAZFLFafTFqe9kD27,"Jl. Jend. Sudirman No.75, Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55223",Senin-Sabtu 08.00-15.00,4.7,Wisata Budaya & Edukasi,,,,indoor,mudah,rendah,{current_weather},museum sejarah,483,yes,yes,Mengunjungi museum TNI AD Dharma Wiratama,no
161,Museum of Indonesian Education,-7.774829,110.387176,5000,5000,"Sudah cukup lengkap memamerkan mulai dari sejarah, tokoh, sampai karya mahasiswa-mahasiswa UNY. Seru untuk ditelusuri oleh berbagai kalangan. Tersedia souvenir yang bisa dibeli untuk oleh-oleh. Pastikan untuk berkunjung kemari jika sempat!",https://lh5.googleusercontent.com/p/AF1QipO11CwjN0n-j0nxudtGAM7DfcmI5nCfc6qix3M=w408-h306-k-no,https://asset-2.tstatic.net/jogja/foto/bank/images/museum-pendidikan-indonesia-mpi.jpg,https://kalamkudusjayapura.sch.id/wp-content/uploads/2022/05/Isi-ruangan-museum-pendidikan-indonesia.jpg,https://goo.gl/maps/tKetyiAuXnjfFLgn8,"Kampus Pusat Universitas Negeri Yogyakarta, Jalan Colombo No. 1,, Caturtunggal,, Depok,, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Senin-Jumat 07.30-16.00,4.6,Wisata Budaya & Edukasi,,,,indoor,mudah,rendah,{current_weather},museum sejarah,480,yes,yes,Mempelajari pendidikan dan sejarah di Museum edukasi,no
